rank,name,score
1,Qatar,0.08
2,Malta,0.60
3,Saudi Arabia,1.14
4,Barbados,1.32
5,Grenada,1.42
6,Iceland,1.52
7,Bahrain,1.69
8,Kiribati,1.78
9,United Arab Emirates,1.97
10,Sweden,2.12
11,Norway,2.19
12,Finland,2.21
13,Singapore,2.27
14,Egypt,2.29
15,Israel /  Palestine,2.30
16,Estonia,2.36
17,Switzerland,2.37
18,Luxembourg,2.43
19,Seychelles,2.55
20,France,2.62
21,Oman,2.64
22,Cyprus,2.68
23,Denmark,2.89
24,Lithuania,2.92
25,Germany,2.95
26,Ukraine,2.97
27,Canada,3.01
28,Spain,3.05
29,Belgium,3.07
30,Mongolia,3.08
31,Belarus,3.11
32,Poland,3.20
33,Kuwait,3.28
34,Latvia,3.31
35,Czechia,3.37
36,Slovakia,3.39
37,Austria,3.39
38,Slovenia,3.41
39,Portugal,3.45
40,Paraguay,3.48
41,United Kingdom,3.54
42,Kazakhstan,3.56
43,Argentina,3.56
44,Russia,3.58
45,United States,3.76
46,Libya,3.79
47,Croatia,3.97
48,Uruguay,4.03
49,Brazil,4.09
50,Bahamas,4.14
51,Australia,4.22
52,Bulgaria,4.22
53,Italy,4.42
54,Equatorial Guinea,4.46
55,Iraq,4.49
56,New Zealand,4.55
57,Jordan,4.58
58,Bolivia,4.58
59,South Korea,4.59
60,Ireland,4.60
61,Iran,4.73
62,Moldova,4.79
63,Lebanon,5.01
64,Nepal,5.12
65,Botswana,5.14
66,Turkey,5.20
67,Hungary,5.32
68,Namibia,5.37
69,Tunisia,5.40
70,Azerbaijan,5.54
71,South Africa,5.58
72,Laos,5.59
73,Syria,5.69
74,Macedonia,5.87
75,Romania,5.92
76,Venezuela,5.93
77,Mexico,5.97
78,Yemen,5.97
79,Gabon,6.04
80,Armenia,6.07
81,Bosnia and Herzegovina,6.10
82,Cuba,6.13
83,Thailand,6.19
84,Georgia,6.27
85,Eritrea,6.35
86,Malaysia,6.39
87,China,6.39
88,Turkmenistan,6.44
89,Colombia,6.45
90,Morocco,6.45
91,Angola,6.52
92,Uganda,6.52
93,Belize,6.55
94,Peru,6.59
95,India,6.64
96,Greece,6.70
97,Tajikistan,6.72
98,Kenya,6.77
99,Lesotho,6.84
100,Pakistan,6.96
101,Central African Republic,7.03
102,Ethiopia,7.04
103,Rwanda,7.09
104,Serbia,7.12
105,Congo,7.19
106,Zambia,7.25
107,Panama,7.26
108,Comoros,7.29
109,Sri Lanka,7.32
110,Algeria,7.36
111,Trinidad and Tobago,7.50
112,Bhutan,7.51
113,Swaziland,7.52
114,Ecuador,7.53
115,Tanzania,7.65
116,Liberia,7.84
117,Kyrgyzstan,7.86
118,Mauritania,7.95
119,Malawi,7.98
120,Nigeria,7.98
121,Sudan,7.99
122,Guinea,8.20
123,Netherlands,8.24
124,Mali,8.39
125,Ghana,8.39
126,Suriname,8.44
127,Uzbekistan,8.59
128,Mozambique,8.69
129,Cote d'Ivoire,8.88
130,Myanmar,8.90
131,Afghanistan,9.50
132,Albania,9.50
133,Burkina Faso,9.54
134,Zimbabwe,10.06
135,Sierra Leone,10.21
136,Indonesia,10.24
137,Burundi,10.28
138,Djibouti,10.30
139,Togo,10.36
140,Senegal,10.38
141,Cape Verde,10.39
142,Honduras,10.68
143,Chad,10.85
144,Cameroon,10.91
145,Dominican Republic,10.96
146,Madagascar,11.15
147,Niger,11.24
148,Guyana,11.39
149,Benin,11.39
150,Chile,11.65
151,Haiti,11.68
152,Jamaica,11.83
153,Gambia,12.07
154,Vietnam,12.53
155,Japan,12.99
156,Fiji,13.15
157,Guinea-Bissau,13.56
158,Nicaragua,14.62
159,Mauritius,15.53
160,Timor Leste,15.69
161,El Salvador,16.05
162,Papua New Guinea,16.43
163,Cambodia,16.58
164,Costa Rica,17.00
165,Brunei,17.00
166,Solomon Islands,19.14
167,Bangladesh,19.17
168,Guatemala,19.88
169,Philippines,26.70
170,Tonga,29.33
171,Vanuatu,36.28
