rank,name,score
1,Denmark,88
1,New Zealand,88
1,Finland,88
4,Singapore,85
4,Sweden,85
7,Switzerland,84
4,Norway,85
8,Netherlands,82
10,Germany,80
9,Luxembourg,81
18,Australia,73
13,Canada,74
12,Hong Kong,76
11,United Kingdom,78
13,Austria,74
18,Belgium,73
13,Estonia,74
13,Iceland,74
18,Japan,73
13,Ireland,74
24,United Arab Emirates,69
18,Uruguay,73
22,France,71
25,Bhutan,68
27,Chile,67
27,United States,67
23,Seychelles,70
25,Taiwan,68
29,Barbados,65
30,Bahamas,64
31,Qatar,63
32,South Korea,62
32,Portugal,62
34,Lithuania,61
34,Spain,61
45,Botswana,55
35,Brunei,
36,Israel,59
41,Slovenia,57
36,Saint Vincent and the Grenadines,59
39,Cape Verde,58
39,Costa Rica,58
52,Cyprus,53
36,Latvia,59
45,Georgia,55
42,Poland,56
42,Saint Lucia,56
45,Dominica,55
49,Czechia,54
56,Oman,52
52,Rwanda,53
52,Grenada,53
42,Italy,56
49,Malta,54
49,Mauritius,54
52,Saudi Arabia,53
62,Malaysia,48
58,Namibia,49
58,Greece,49
58,Armenia,49
58,Jordan,49
56,Slovakia,52
82,Belarus,41
63,Croatia,47
64,Cuba,46
66,São Tomé and Príncipe,45
64,Montenegro,46
73,Senegal,43
78,Bulgaria,42
73,Hungary,43
70,Jamaica,44
66,Romania,45
70,South Africa,44
70,Tunisia,44
73,Ghana,43
85,Maldives,40
66,Vanuatu,45
96,Argentina,38
78,Bahrain,42
66,China,45
73,Kuwait,43
73,Solomon Islands,43
78,Benin,42
87,Guyana,39
96,Lesotho,38
78,Burkina Faso,42
85,India,40
87,Morocco,39
82,Timor-Leste,41
82,Trinidad and Tobago,41
96,Turkey,38
87,Colombia,39
105,Ecuador,36
96,Brazil,38
87,Ethiopia,39
102,Kazakhstan,37
105,Peru,36
96,Serbia,38
102,Sri Lanka,37
87,Suriname,39
87,Tanzania,39
102,Gambia,37
96,Indonesia,38
110,Albania,35
117,Algeria,33
105,Ivory Coast,36
115,El Salvador,34
87,Kosovo,39
110,Thailand,35
87,Vietnam,39
110,Bosnia and Herzegovina,35
110,Mongolia,35
87,North Macedonia,39
105,Panama,36
105,Moldova,36
117,Philippines,33
117,Egypt,33
122,Eswatini,32
117,Nepal,33
115,Sierra Leone,34
122,Ukraine,32
117,Zambia,33
124,Niger,31
128,Bolivia,30
128,Kenya,30
144,Kyrgyzstan,27
124,Mexico,31
140,Pakistan,28
128,Azerbaijan,30
124,Gabon,31
110,Malawi,35
136,Mali,29
136,Russia,29
128,Laos,30
140,Mauritania,28
128,Togo,30
128,Dominican Republic,30
136,Liberia,29
140,Myanmar,28
128,Paraguay,30
136,Angola,29
128,Djibouti,30
124,Papua New Guinea,31
140,Uzbekistan,28
144,Uganda,27
144,Cameroon,27
147,Bangladesh,26
147,Madagascar,26
147,Mozambique,26
150,Guinea,25
150,Guatemala,25
150,Iran,25
150,Tajikistan,25
154,Central African Republic,24
154,Lebanon,24
154,Nigeria,24
157,Honduras,23
157,Iraq,23
157,Cambodia,23
157,Zimbabwe,23
161,Eritrea,22
162,Republic of the Congo,21
162,Guinea-Bissau,21
164,Comoros,20
164,Haiti,20
164,Nicaragua,20
164,Sudan,20
164,Chad,20
165,Burundi,19
162,Democratic Republic of the Congo,21
169,Turkmenistan,19
172,Equatorial Guinea,17
172,Libya,17
174,Afghanistan,16
174,North Korea,16
174,Yemen,16
177,Venezuela,14
178,Somalia,13
178,Syria,13
180,South Sudan,11
