rank,name,score
1,Norway,9.75
2,New Zealand,9.37
3,Finland,9.27
4,Sweden,9.26
5,Iceland,9.18
6,Denmark,9.09
7,Ireland,9
8,Taiwan,8.99
9,Switzerland,8.9
9,Australia,8.9
11,Netherlands,8.88
12,Canada,8.87
13,Uruguay,8.85
14,Luxembourg,8.68
15,Germany,8.67
16,South Korea,8.16
17,Japan,8.15
18,United Kingdom,8.1
19,Mauritius,8.08
20,Costa Rica,8.07
21,Austria,8.07
22,France,7.99
23,Israel,7.97
24,Spain,7.94
25,Chile,7.92
26,United States,7.85
27,Estonia,7.84
28,Portugal,7.82
29,Czechia,7.74
30,Botswana,7.73
31,Italy,7.68
32,Cape Verde,7.65
33,Malta,7.57
34,Greece,7.56
35,Slovenia,7.54
36,Belgium,7.51
37,Cyprus,7.43
38,Latvia,7.31
39,Malaysia,7.24
40,Lithuania,7.18
41,Trinidad and Tobago,7.16
42,Jamaica,7.13
43,East Timor,7.06
44,South Africa,7.05
45,Slovakia,7.03
46,India,6.91
47,Brazil,6.86
48,Panama,6.85
49,Suriname,6.82
50,Argentina,6.81
51,Poland,6.8
52,Indonesia,6.71
53,Bulgaria,6.64
54,Philippines,6.62
55,Namibia,6.52
56,Croatia,6.5
56,Hungary,6.5
56,Ghana,6.5
59,Colombia,6.48
60,Dominican Republic,6.45
61,Romania,6.43
62,Mongolia,6.42
63,Serbia,6.36
64,Lesotho,6.3
65,Guyana,6.25
66,Singapore,6.23
67,Sri Lanka,6.14
68,Albania,6.11
69,Moldova,6.1
69,Papua New Guinea,6.1
71,Peru,6.09
72,Thailand,6.04
73,North Macedonia,6.03
74,Montenegro,6.02
75,Bangladesh,5.99
75,Tunisia,5.99
77,Paraguay,5.86
78,Malawi,5.74
79,El Salvador,5.72
79,Zambia,5.72
81,Ecuador,5.71
81,Bhutan,5.71
83,Madagascar,5.7
84,Fiji,5.61
85,Hong Kong,5.6
86,Ukraine,5.57
86,Mexico,5.57
88,Senegal,5.53
89,Armenia,5.49
90,Liberia,5.43
91,Georgia,5.12
92,Honduras,5.1
92,Tanzania,5.1
94,Kenya,5.05
95,Bosnia and Herzegovina,5.04
95,Morocco,5.04
97,Sierra Leone,4.97
98,Bolivia,4.65
99,Guatemala,4.62
100,Uganda,4.48
101,Nepal,4.41
101,Gambia,4.41
103,Turkey,4.35
104,Pakistan,4.31
105,Ivory Coast,4.22
106,Benin,4.19
107,Nigeria,4.11
108,Mauritania,4.03
109,Palestine,3.94
110,Kuwait,3.91
111,Lebanon,3.84
111,Burkina Faso,3.84
113,Algeria,3.77
114,Qatar,3.65
115,Kyrgyzstan,3.62
116,Iraq,3.51
116,Mozambique,3.51
118,Jordan,3.49
119,Haiti,3.48
119,Mali,3.48
121,Gabon,3.4
122,Angola,3.37
123,Ethiopia,3.3
124,Russia,3.24
125,Niger,3.22
126,Comoros,3.2
127,Rwanda,3.1
128,Kazakhstan,3.08
128,Eswatini,3.08
130,Oman,3
131,Vietnam,2.94
132,Egypt,2.93
133,Zimbabwe,2.92
134,Cambodia,2.9
134,United Arab Emirates,2.9
136,Togo,2.8
137,Republic of the Congo,2.79
138,Guinea-Bissau,2.75
139,Djibouti,2.74
140,Nicaragua,2.69
141,Azerbaijan,2.68
142,Cuba,2.59
143,Cameroon,2.56
144,Bahrain,2.52
145,Sudan,2.47
146,Belarus,2.41
147,Guinea,2.28
148,China,2.21
149,Burundi,2.13
150,Uzbekistan,2.12
151,Venezuela,2.11
152,Saudi Arabia,2.08
153,Eritrea,2.03
154,Iran,1.95
154,Libya,1.95
154,Yemen,1.95
157,Tajikistan,1.94
158,Equatorial Guinea,1.92
159,Laos,1.77
160,Chad,1.67
161,Turkmenistan,1.66
162,Syria,1.43
162,Central African Republic,1.43
164,Democratic Republic of the Congo,1.4
165,North Korea,1.08
166,Myanmar,1.02
167,Afghanistan,0.32
