rank,name,score
1,Yemen,111.7
2,Somalia,110.9
3,Syria,110.7
4,South Sudan,109.4
5,DR Congo,108.4
6,Central African Republic,107
7,Chad,105.8
8,Sudan,105.2
9,Afghanistan,102.1
10,Zimbabwe,99.1
11,Ethiopia,99
12,Nigeria,98
13,Haiti,97.5
14,Guinea,97.4
15,Cameroon,97.2
16,Burundi,97.1
17,Libya,97
17,Eritrea,97
19,Mali,96.6
20,Iraq,96.2
21,Niger,96
22,Mozambique,93.9
23,Myanmar,93.8
24,Uganda,92.9
25,Venezuela,92.6
26,Congo,92.4
27,Guinea-Bissau,92
28,Côte d'Ivoire,90.7
29,Pakistan,90.5
30,North Korea,90
31,Liberia,89.5
32,Kenya,89.2
33,Mauritania,89.1
34,Lebanon,89
34,Angola,89
36,Burkina Faso,87.1
37,Palestine[a],86
38,Togo,85.1
39,Egypt,85
39,Bangladesh,85
39,Rwanda,85
42,Zambia,84.9
43,Iran,84.5
44,Equatorial Guinea,84.1
45,Sierra Leone,83.4
46,Malawi,83.2
47,Eswatini,82.5
47,Comoros,82.5
49,Philippines,82.4
49,Djibouti,82.4
51,Nepal,82.2
52,Timor-Leste,80.9
52,Papua New Guinea,80.9
54,Cambodia,80.6
55,Sri Lanka,80.5
55,Gambia,80.5
57,Turkey,79.7
58,Madagascar,79.5
59,Honduras,79.4
59,Guatemala,79.4
61,Solomon Islands,79.3
61,Tanzania,79.3
61,Colombia,79.3
64,Lesotho,77.9
65,Nicaragua,77.1
66,India,77
67,Jordan,76.8
68,Kyrgyzstan,76.4
69,Laos,76
70,Brazil,75.8
71,Azerbaijan,75.1
71,Tajikistan,75.1
73,Bolivia,74.9
74,Algeria,73.6
74,Russia,73.6
76,Senegal,73.4
77,Bosnia-Herzegovina,72.9
78,Benin,72.8
79,Georgia,72.6
80,Uzbekistan,72
81,Micronesia,71.7
82,El Salvador,71.6
83,São Tomé and Príncipe,71.5
83,Morocco,71.5
85,Peru,71.4
86,Ecuador,71.2
87,Thailand,70.9
88,Fiji,70.4
89,South Africa,70
90,Mexico,69.9
91,Ukraine,69.8
91,Armenia,69.8
93,Saudi Arabia,69.7
94,Tunisia,69.2
95,China,68.9
96,Bhutan,68.3
97,Turkmenistan,68.2
98,Belarus,68
99,Maldives,67.6
99,Indonesia,67.6
101,Serbia,67.4
101,Gabon,67.4
103,Moldova,67
104,Bahrain,66.7
105,Paraguay,66.4
106,Guyana,66.1
107,Dominican Republic,64.7
108,North Macedonia,64.5
109,Namibia,64.3
110,Samoa,64.2
110,Cape Verde,64.2
110,Belize,64.2
113,Ghana,63.9
114,Vietnam,63.3
115,Suriname,61.5
116,Kazakhstan,61.2
116,Jamaica,61.2
118,Cuba,59.5
119,Albania,59
120,Montenegro,58.5
121,Cyprus,57.4
122,Botswana,57
123,Malaysia,56.9
124,Seychelles,56.3
124,Brunei,56.3
126,Grenada,56.1
127,Antigua and Barbuda,54.9
128,Greece,54.5
129,Kuwait,52.9
129,Trinidad and Tobago,52.9
131,Bahamas,52.4
132,Mongolia,52.3
133,Bulgaria,51.6
134,Hungary,51.1
135,Romania,51
136,Oman,50.4
137,Argentina,50.1
138,Croatia,49.8
139,Panama,48.7
140,Barbados,47
141,Italy,45.2
142,Spain,44.8
143,United States,44.6
144,Qatar,44.1
144,Chile,44.1
146,Latvia,44
147,Poland,43.1
148,Israel[a],43
149,Costa Rica,42.5
150,United Kingdom,41.5
151,United Arab Emirates,40.3
152,Estonia,39.5
153,Czechia,39.3
154,Slovakia,39
155,Lithuania,38.7
156,Mauritius,38.1
157,Malta,36.2
158,Uruguay,35.9
159,South Korea,32.5
159,France,32.5
161,Japan,32.2
162,Belgium,31
163,Slovenia,28.2
164,Portugal,26.8
165,Singapore,26.6
166,Austria,26.1
167,Germany,24.8
168,Netherlands,24.1
169,Ireland,22.2
170,Australia,21.8
171,Canada,21.7
172,Sweden,21.4
173,Luxembourg,21.1
174,Switzerland,19.9
175,Denmark,18.8
176,New Zealand,18.4
177,Iceland,18
178,Norway,16.6
179,Finland,16.2
