rank,name,score
1,Finland,100
1,Norway,100
1,Sweden,100
4,New Zealand,99
5,Canada,98
5,Netherlands,98
7,Australia,97
7,Denmark,97
7,Ireland,97
7,Luxembourg,97
11,Belgium,96
11,Japan,96
11,Portugal,96
11,Switzerland,96
15,Barbados,95
15,Slovenia,95
16,Cyprus,94
16,Estonia,94
16,Germany,94
16,Iceland,94
21,Andorra,93
21,Austria,93
21,Chile,93
21,Dominica,93
21,Kiribati,93
21,Marshall Islands,93
21,San Marino,93
21,Tuvalu,93
21,United Kingdom,93
30,Cape Verde,92
30,Micronesia,92
30,Palau,92
33,Bahamas,91
33,Costa Rica,91
33,Czechia,91
33,Saint Lucia,91
33,Saint Vincent and the Grenadines,91
38,France,90
38,Italy,90
38,Liechtenstein,90
38,Lithuania,90
38,Malta,90
38,Slovakia,90
38,Spain,90
45,Grenada,89
45,Latvia,89
45,Saint Kitts and Nevis,89
48,Belize,87
48,Greece,87
48,Mauritius,87
51,Antigua and Barbuda,85
51,Croatia,85
53,Argentina,84
53,Mongolia,84
53,São Tomé and Príncipe,84
56,Monaco,83
56,Panama,83
56,Romania,83
56,South Korea,83
56,United States,83
61,Ghana,82
61,Poland,82
61,Trinidad and Tobago,82
61,Uruguay,82
65,Samoa,81
66,Jamaica,80
67,Solomon Islands,79
67,South Africa,79
67,Suriname,79
67,Tonga,79
71,Bulgaria,78
72,Namibia,77
72,Nauru,77
72,Seychelles,77
75,Israel,76
76,Brazil,74
77,Guyana,73
78,Botswana,72
78,East Timor,72
80,Peru,71
80,Senegal,71
80,Tunisia,71
83,Hungary,69
84,Dominican Republic,67
84,Ecuador,67
84,India,67
87,Albania,66
87,Bolivia,66
87,Malawi,66
87,North Macedonia,66
91,Benin,65
91,Colombia,65
91,Paraguay,65
91,Sierra Leone,65
95,Serbia,64
96,El Salvador,63
96,Lesotho,63
96,Montenegro,63
99,Papua New Guinea,62
100,Bhutan,61
100,Mexico,61
100,Moldova,61
103,Fiji,60
103,Georgia,60
103,Liberia,60
103,Madagascar,60
103,Ukraine,60
108,Indonesia,59
109,Nepal,56
109,Philippines,56
109,Sri Lanka,56
112,Armenia,55
113,Burkina Faso,54
113,Kosovo,54
115,Bosnia and Herzegovina,53
116,Guatemala,52
116,Zambia,52
118,Malaysia,51
119,Niger,48
119,Singapore,48
121,Gambia,46
122,Nigeria,45
123,Guinea-Bissau,44
123,Honduras,44
123,Ivory Coast,44
126,Lebanon,43
126,Mozambique,43
126,Togo,43
129,Comoros,42
130,Maldives,40
131,Bangladesh,39
132,Guinea,38
133,Haiti,37
133,Kuwait,37
133,Morocco,37
133,Pakistan,37
137,Mauritania,35
138,Jordan,34
138,Tanzania,34
138,Uganda,34
141,Mali,33
142,Algeria,32
142,Turkey,32
144,Angola,31
145,Nicaragua,30
145,Thailand,30
147,Iraq,29
148,Brunei,28
148,Kyrgyzstan,28
148,Myanmar,28
148,Zimbabwe,28
152,Afghanistan,27
153,Qatar,25
154,Cambodia,24
154,Djibouti,24
156,Oman,23
157,Ethiopia,22
157,Gabon,22
159,Rwanda,21
160,DR Congo,20
160,Congo,20
160,Russia,20
163,Eswatini,19
163,Vietnam,19
165,Egypt,18
166,Chad,17
166,Sudan,17
166,United Arab Emirates,17
169,Cameroon,16
169,Iran,16
171,Burundi,14
171,Venezuela,14
173,Cuba,13
173,Laos,13
175,Bahrain,12
176,Belarus,11
176,Yemen,11
178,Azerbaijan,10
179,Central African Republic,9
179,China,9
179,Libya,9
182,Tajikistan,8
183,Saudi Arabia,7
183,Somalia,7
185,Equatorial Guinea,5
186,North Korea,3
187,Eritrea,2
187,South Sudan,2
187,Turkmenistan,2
190,Syria,1
