rank,name,score
1,Denmark,83.86
2,Norway,83.5
3,Sweden,83.11
4,Finland,82.96
5,Switzerland,82.89
6,Netherlands,82.18
7,Luxembourg,81.1
8,New Zealand,80.93
9,Germany,80.57
10,Iceland,80.12
11,Austria,79.74
12,Ireland,79.63
13,United Kingdom,79.6
14,Singapore,79.05
15,Canada,78.99
16,Australia,78.76
17,Estonia,78.13
18,Hong Kong (China),77.85
19,Japan,77.72
20,United States,77.15
21,Taiwan,76.9
22,France,76.34
23,Belgium,76.33
24,Spain,75.44
25,Malta,74.95
26,Slovenia,74.76
27,Czech Republic,74.56
28,Portugal,74.21
29,South Korea,73.52
30,Latvia,72.13
31,Italy,72
32,Israel,71.95
33,Lithuania,71.77
34,Cyprus,70.82
35,Slovakia,70.56
36,Poland,70.32
37,Uruguay,69.07
38,Chile,69.03
39,Costa Rica,68.66
40,Croatia,67.96
41,United Arab Emirates,67.31
42,Malaysia,67.25
43,Greece,66.97
44,Hungary,66.72
45,Mauritius,66.35
46,Qatar,66.33
47,Romania,66.09
48,Bulgaria,65.38
49,Montenegro,64.34
50,Seychelles,63.81
51,Panama,63.56
52,Serbia,62.3
53,Georgia,62.28
54,China,62.23
55,Armenia,61.93
56,Bahrain,61.31
57,Argentina,61.16
58,Kuwait,61.15
59,Trinidad and Tobago,61.04
60,Macedonia,61.01
61,Peru,60.81
62,Indonesia,60.61
63,Thailand,60.51
64,Kazakhstan,60.41
65,Jamaica,60.35
66,Belarus,60.11
67,Oman,59.91
68,Brazil,59.57
69,Albania,59.54
70,Russia,59.31
71,Mexico,59.15
72,Moldova,58.97
73,Dominican Republic,58.7
74,Vietnam,58.69
75,Saudi Arabia,58.59
76,Bosnia and Herzegovina,58.04
77,Colombia,58.04
78,Ukraine,57.85
79,Paraguay,57.49
80,Cabo Verde,57.42
81,Jordan,57.24
82,Botswana,57.15
83,Ecuador,56.83
84,Philippines,56.75
85,South Africa,56.69
86,Azerbaijan,56.6
87,Mongolia,56.53
88,Sri Lanka,56.51
89,Suriname,56.44
90,Kyrgyzstan,56.14
91,Morocco,55.97
92,Namibia,55.87
93,Turkey,55.68
94,Guyana,55.67
95,Belize,55.07
96,Tunisia,54.95
97,El Salvador,54.9
98,São Tomé and Príncipe,54.71
99,Ghana,54.03
100,Uzbekistan,53.92
101,India,53.57
102,Cuba,53.57
103,Guatemala,53.3
104,Rwanda,52.9
105,Senegal,52.55
106,Bolivia,52.23
107,Algeria,52.19
108,Turkmenistan,52.04
109,Lebanon,51.93
110,Tajikistan,51.88
111,Honduras,51.79
112,Kenya,51.09
113,Nicaragua,50.88
114,Nepal,50.22
115,Laos,50.13
116,Gambia,50.08
117,Tanzania,49.54
118,Cambodia,49.15
119,Benin,48.58
120,Côte d'Ivoire,48.52
121,Egypt,48.44
122,Djibouti,48.18
123,Iran,48.05
124,Zambia,47.95
125,Gabon,47.5
126,Bangladesh,47.32
127,Uganda,46.78
128,Papua New Guinea,46.74
129,Malawi,46.6
130,Comoros,46.54
131,Swaziland,46.32
132,Equatorial Guinea,46.29
133,Myanmar,45.62
134,Burkina Faso,45.15
135,Lesotho,44.8
136,Madagascar,44.5
137,Togo,44.37
138,Pakistan,44.13
139,Liberia,44.11
140,Guinea,43.92
141,Iraq,43.85
142,Zimbabwe,43.62
143,Nigeria,43.02
144,Sierra Leone,42.93
145,Ethiopia,42.76
146,Mozambique,42.67
147,Venezuela,42.62
148,Niger,42.07
149,Cameroon,41.83
150,Guinea-Bissau,41.75
151,Mali,41.57
152,Congo,41.05
153,Mauritania,40.9
154,Libya,40.9
155,Haiti,39.65
156,Angola,39.13
157,Burundi,38.47
158,Syria,37.09
159,Sudan,36.98
160,Democratic Republic of Congo,35.11
161,Somalia,35.07
162,Eritrea,34.64
163,Afghanistan,33.71
164,Chad,33.46
165,Yemen,33.33
166,Central African Republic,32.19
167,South Sudan,28.7
