rank,name,score
1,Norway,92.73
2,Denmark,92.11
3,Finland,91.89
4,New Zealand,91.64
5,Sweden,91.62
6,Switzerland,91.42
7,Canada,91.4
8,Australia,91.29
9,Iceland,91.09
10,Netherlands,91.06
11,Germany,90.56
12,Ireland,90.35
13,Japan,90.14
14,Luxembourg,89.56
15,Austria,89.5
16,Belgium,89.46
17,South Korea,89.06
18,France,88.78
19,Spain,88.71
20,United Kingdom,88.54
21,Portugal,87.79
22,Slovenia,87.71
23,Italy,87.36
24,Estonia,87.26
25,Czech Republic,86.69
26,Cyprus,86.64
27,Greece,85.78
28,United States,85.71
29,Singapore,85.46
30,Malta,84.89
31,Poland,84.32
32,Lithuania,83.97
33,Israel,83.62
34,Chile,83.34
35,Latvia,83.19
36,Slovakia,83.15
37,Costa Rica,83.01
38,Uruguay,82.99
39,Croatia,81.92
40,Hungary,81.02
41,Argentina,80.66
42,Barbados,80.5
43,Bulgaria,79.86
44,Mauritius,78.96
45,Romania,78.35
46,Kuwait,77.47
47,Belarus,77
48,Malaysia,76.96
49,Panama,76.55
50,Armenia,76.46
51,Trinidad and Tobago,76.33
52,Serbia,75.54
53,Ecuador,75.45
54,Albania,75.41
55,Tunisia,75.02
56,Georgia,74.85
57,Jamaica,74.75
58,Montenegro,74.42
59,Peru,74.22
60,Colombia,74
61,Brazil,73.91
62,Mexico,73.52
63,Ukraine,73.38
64,Sri Lanka,73.2
65,North Macedonia,73.16
66,Bosnia and Herzegovina,72.74
67,Kazakhstan,72.66
68,Moldova,72.58
69,Russia,72.56
70,Paraguay,72.48
71,Cabo Verde,72.05
72,Cuba,71.52
73,Jordan,71.5
74,Oman,71.41
75,Suriname,71.12
76,Mongolia,71.07
77,Dominican Republic,71.05
78,Maldives,70.81
79,Thailand,70.72
80,United Arab Emirates,70.6
81,Qatar,70.58
82,South Africa,70.26
83,Algeria,69.92
84,Indonesia,69.49
85,Lebanon,69.37
86,Botswana,69.36
87,Bolivia,69.23
88,Vietnam,68.85
89,Kyrgyzstan,68.65
90,Fiji,68.42
91,Bhutan,68.34
92,Turkey,68.27
93,Iran,67.49
94,El Salvador,67.25
95,Namibia,67.14
96,Guyana,66.95
97,Morocco,66.9
98,Philippines,66.62
99,Bahrain,66.6
100,China,66.12
101,Saudi Arabia,65.06
102,Uzbekistan,64.98
103,Ghana,64.86
104,Azerbaijan,64.11
105,Nicaragua,64.02
106,Gabon,63.93
107,Iraq,63.52
108,Honduras,62.41
109,Guatemala,61.67
110,East Timor,61.08
111,Senegal,60.04
112,Egypt,59.98
113,Turkmenistan,58.35
114,Nepal,57.6
115,Kenya,57.1
116,Tajikistan,56.99
117,India,56.8
118,Cambodia,56.27
119,Tanzania,56.2
120,Myanmar,55.99
121,Benin,55.56
122,Zambia,55.34
123,Bangladesh,55.23
124,Gambia,55.1
125,Rwanda,54.13
126,Malawi,54.07
127,Lesotho,53.8
128,Ivory Coast,53.59
129,Togo,53.05
130,Uganda,52.98
131,Eswatini,52.92
132,Zimbabwe,52.26
133,Laos,51.8
134,Sierra Leone,51.74
135,Liberia,51.37
136,Nigeria,51.31
137,Cameroon,51.29
138,Equatorial Guinea,50.08
139,North Korea,50.01
140,Burkina Faso,49.87
141,Pakistan,49.25
142,Mozambique,49
143,Mauritania,48.95
144,Haiti,48.79
145,Ethiopia,48.59
146,Djibouti,48.53
147,Sudan,48.51
148,Madagascar,48.46
149,Republic of the Congo,48.45
150,Mali,48.29
151,Angola,48.16
152,Guinea-Bissau,46.69
153,Papua New Guinea,44.91
154,Guinea,43.41
155,Afghanistan,42.29
156,Democratic Republic of the Congo,42.25
157,Niger,42.21
158,Burundi,41.2
159,Somalia,35.58
160,Eritrea,35.2
161,Central African Republic,31.62
162,Chad,31.29
163,South Sudan,31.06
